object 0, number of samples 1000
26995: 137, 271
27181: 146, 294
27368: 155, 317
27554: 164, 294
27741: 155, 271
27928: 146, 248
28114: 137, 225
28301: 128, 202
28487: 119, 179
28674: 110, 156
28861: 101, 133
object 1, number of samples 1000
27021: 578, 0
27208: 569, 0
27394: 560, 0
27581: 551, 0
27768: 542, 0
27954: 533, 0
28141: 524, 0
28327: 515, 0
28514: 515, 0
28701: 524, 0
28887: 533, 0
object 2, number of samples 1000
27048: 86, 494
27234: 91, 521
27421: 96, 548
27608: 101, 575
27794: 106, 602
27981: 111, 629
28167: 116, 656
28354: 121, 683
28541: 126, 710
28727: 131, 683
28914: 126, 656
object 3, number of samples 1000
27075: 609, 558
27261: 602, 530
27448: 595, 502
27634: 588, 474
27821: 581, 446
28007: 574, 418
28194: 567, 390
28381: 560, 390
28567: 567, 418
28754: 574, 446
28940: 581, 474
object 4, number of samples 1000
27101: 154, 16
27288: 181, 40
27474: 208, 64
27661: 235, 88
27848: 262, 112
28034: 289, 136
28221: 316, 160
28407: 343, 184
28594: 370, 208
28781: 397, 232
28967: 424, 256
object 5, number of samples 1000
27128: 637, 252
27314: 609, 231
27501: 581, 210
27688: 553, 189
27874: 525, 168
28061: 525, 189
28247: 553, 210
28434: 581, 231
28621: 609, 252
28807: 637, 273
28994: 665, 294
object 6, number of samples 1000
27155: 334, 627
27341: 352, 629
27528: 370, 631
27714: 388, 633
27901: 406, 635
28087: 424, 637
28274: 442, 639
28461: 460, 641
28647: 478, 643
28834: 460, 641
29020: 442, 639
